naslov,autor,kategorija,izdavac,godina_izdanja,broj_strana,povez,format,opis,cena
"U POTRAZI ZA VELIKIM KANOM, Kristifor Kolumbo",Visente Blasko Ibanjes,ISTORIJSKI ROMAN,TANESI,2023,360,Broš,20x13.5,"U potrazi za Velikim Kanom je objavljen 1929. godine i opisuje nam prvo Kolumbovo putovanje i otkriće Amerike. Iscrpno su prikazane pripreme za ekspediciju, plovidba i prva istraživanja američkog tla i kontakti s urođenicima, ali i atmosfera koja vlada na dvoru Katoličkih kraljeva, proterivanje Jevreja iz Španije uz ljubavnu priču o Fernandu i Luseri koji će učestvovati u ekspediciji kao Kolumbovi paževi.",1287.0
NE ŠALJI PORUKE BIVŠIMA,Nik Vajal,"KOMUNIKACIJA, EMOCIJA I ODNOSI SA DRUGIMA",LAGUNA,2024,288,Broš,13x20,"Nik savetuje čitaoce na temu ljubavi, strasti, romantičnih sastanaka i slomljenih srca na osnovu svog ekspertskog poznavanja ljubavnih odnosa. Bez zadrške analizira neobavezne kres šeme, otkriva ko su osvajači svaštojebi i definiše zdravu nasuprot toksičnoj ljubavi.",899.0
KOREOGRAFIJA ŽIVOTA,Tamara Filipović Ljubenović,"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE (domaći autori)",ČIGOJA ŠTAMPA,2024,220,Broš,14.8x21,"„Koreografija života“ Tamare Filipović Ljubenović je knjiga koja će vas, ako joj to dozvolite, izvući i iz najdublje hibernacije, u koju ste zapali zbog svega što nije ljubav, radost, svetlost, svega što vas je sputavalo, kočilo, uspavljivalo. Rečenice, u njoj ispisane, majčinski će vas nežno ohrabriti, zagrliti, utešiti, a onda će vas, kada se najmanje budete nadali, šutnuti nogom u zadnjicu i pozvati da se probudite iz stogodišnjeg sna.",1980.0
TURSKO VOĆE,Jan Volkers,LJUBAVNI ROMAN,L.O.M.,2024,174,Broš,14x21,"Jedan je od najpoznatijih holandskih pisaca dvadesetog veka. Retko je da se likovni umetnik toliko istakne u književnosti. A sve je počelo čuvenim romanom Tursko voće (1969), po kome je Pol Verhoven odmah snimio film. U poplavi ljubića našeg vremena, Jan Volkers je napisao veliki ljubavni roman. Takvih knjiga nema mnogo. Među njima su, između ostalih, Crveno i crno, Idiot, Sentimentalno vaspitanje, Pan. Upitaj prah, Naš čovjek na terenu. Volkersova Olga postala je jedna od besmrtnih junakinja literature, u sazvežđu u kome su Ema Bovari, Ana Karenjina, Kemil Lopez, Nastasja Filipovna, Edvarda Mak, madam de Renal.",1079.0
ŠTA NAS ČEKA SUTRA?,Maja Vujackov,DOMAĆI ROMAN,KNJIŽEVNA OMLADINA SRBIJE,2024,207,Broš,14.8x21,"Nakon mnogo godina, junakinja romana, Maša, napokon može normalno da nastavi svoj život. Da kao i svaka druga tridesetogodišnja devojka gradi svoju karijeru, uživa u ljubavi i živi život punim plućima.",990.0
OFF,Momo Kapor,DOMAĆE PRIČE I PRIPOVETKE,LAGUNA,2024,160,Broš,13x20,"Vrlo kratke priče o ljubavi i životu, uz mnogo ilustracija.",719.0
BOLNA LJUBAV,Hedviga Kurc-Maler,DOMAĆI ROMAN,PANONIJA-RUMA IP,2024,141,Tvrd,14.8x21,"U ovom romanu spisateljica je uzela dva susedna imanja, Frankenau i Birkenheim, i svojim čarobnim nitima isplela uzbudljivu životnu priču oko njih. Ljubav, njena osnovna preokupacija, i ovde dobija svoj visoki valer, osnovni životni moto i jedini smisao života.",900.0
JEDNO GRČKO LETO,Kejt Frost,LJUBAVNI ROMAN,TEA BOOKS,2024,280,Broš,14x20,Pružiti priliku ljubavi samo je početak...,1169.0
TAMO GDE TE LJUBAV ČEKA,Džesika Redland,LJUBAVNI ROMAN,VULKAN IZDAVAŠTVO,2024,288,Broš,14.5x20.5,"Dok gleda kako se ljubav njenog života ženi drugom ženom, Samanta je na korak od toga da odustane od nade da će pronaći svoj srećan kraj.",849.0
NA KRILIMA FENIKSA,Amra Halilović,DOMAĆI ROMAN,UKRONIJA,2024,209,Broš,20x14,"Amra Halilović u naizgled jednostavnu priču o rođenju mladalačke ljubavi uspešno interpolira filozofske pasaže o čoveku, njegovom nastanku i povratku u božje krilo. Ona je izgradila jednu vrlo interesantnu romanesknu strukturu koja obiluje digresijama, esejističkim poglavljima i pasusima: o veri, o militvi, o duši, o samoubistvu, o ravnoteži u prirodi, o identitetu i korenima, o političarima, o navici, o razgovoru kao leku za sve probleme među ljudima, o deci kao krunskom smislu života. - Miroslav Aleksić",1089.0
ELIJAHOVA STOLICA,Igor Štiks,DOMAĆI ROMAN,KONTRAST,2023,294,Broš,14.8x21,"Elijahova stolica je roman koji je u godini objavljivanja dobio dve nagrade za najbolju knjigu u Hrvatskoj, a potom preveden na 14 jezika i konačno pretočen u sada već kultnu predstavu Jugoslovenskog dramskog pozorišta. Ostvaren ubedljivim i suverenim predstavljanjem složenih ukrštaja područja pravde, morala, ljubavi i ljudske prirode, roman se potvrdio kao ostvarenje visokog dometa koje do dan-danas ostaje jedno od najreprezentativnijih kada je reč o književnom uprizorenju neotklonjivo važnih godina nedavne istorije naših prostora. Ovo novo izdanje odavno rasprodate knjige dolazi nam u trenutku kojem su novi usudi povesti, društvena kretanja i ratni vihori preteći nalik onima koji figuriraju i na njenim stranicama.",989.0
DRUGA ŠANSA ZA LJUBAV,Lisa Hobman,LJUBAVNI ROMAN,VULKAN IZDAVAŠTVO,2024,288,Broš,14.5x20.5,"Nakon što je dugo patila zbog tajne neuzvraćene ljubavi, Mili Tredavej je konačno pronašla muškarca sa kojim želi da provede ostatak života. Hari je lep, zgodan i uspešan i Mili se sa njim oseća kao princeza – sve dok vereniku ne uruči jedinstven rođendanski poklon koji će staviti tačku na njihove planove za zajedničku budućnost.",849.0
ZAVIRI U...FUDBAL: KNJIGA S PROZORČIĆIMA,Rob Lojd Džouns,NAUKA I OPŠTA INTERESOVANJA ZA DECU,KREATIVNI CENTAR,2023,14,Tvrd,20x22,"Zaviri u … FUDBAL je knjiga koja kod najmlađih razvija ljubav prema sportu. Namenjena je deci uzrasta od 5 do 8 godina. Otvaranjem prozorčića otkriće razne zanimljivosti o najpopularnijem sportu na svetu – kakva su pravila igre, kako izgleda fudbalski stadion, šta se dešava izvan terena, kako se postaje profesionalni fudbaler…",1305.0
DŽULIJA,Sandra Njuman,ROMAN,LAGUNA,2024,360,Broš,13x20,Briljantno sagledavanje Orvelove 1984 iz ugla ljubavnice Vinstona Smita,1079.0
PRVO SE POBRINI ZA SVOJE DUPE,Bojana Ivanović,"ASERTIVNOST, MOTIVACIJA I SAMOPOŠTOVANJE (domaći autori)",BOJANA IVANOVIĆ PR,2024,248,Broš,14.5x20.5,"Pomalo sebična knjiga o tome kako postaviti SEBE na prvo mesto u ljubavi, krevetu, društvu, poslu i kako se brinuti o svom telu, zdravlju i umu. Bez griže savesti i straha.",1260.0
KUŠANJE SVETOG ANTONIJA,Gistav Flober,KLASICI,L.O.M.,2024,201,Broš,13.5x21,"Bog francuske i svetske književnosti, tvorac Madam Bovari i Sentimentalnog vaspitanja, dobio je ideju za knjigu Kušanje svetog Antonija, još u svojoj osamnaestoj godini. Prvu verziju, nadahnutu filozofijom Baruha Spinoze, pisao je 1847-1848, otputovao radi nje u Egipat, ali je nije završio jer je otpočeo da piše roman Madam Bovari. Svetom Antoniju vratio se 1856, ali je još jednom prekinuo taj rad da bi napisao roman Salambo  (Flober je oduvek bio opčinjen Starim vekom), a zatim i Sentimentalno vaspitanje. Poslednju verziju Kušanja svetog Antonija objavio je tek 1874, kao roman dramske strukture, čija se radnja zbiva u jednoj noći. Glavni akteri ovih vizija svetog Antonija su Amonarija, njegova ljubav iz mladosti, kralj Nabukodono-sor, kraljica od Sabe, Hilarion (Antonijev učenik) kao ovaploćenje Satane, uz Požudu i Smrt, u vidu mlade i stare žene. Ova knjiga je, između ostalog, nenadmašna studija religije, filozofije i paganizma.",1079.0
KRV I SUZE U SREDNJOJ ŠKOLI,Keti Aker,ROMAN,L.O.M.,2024,221,Broš,14x21,"Avangardna američka autorka, ikona panka i feminizma, rođena je u Njujorku kao Karen Leman. Književno delo Keti Aker obojeno je traumama iz detinjstva, seksualnošću i pobunom protiv sveta u kom je živela. Bila je večito gladna ljubavi i ljudskog dodira.",1346.0
"AJNŠTAJNOV KOSMOS, 4. IZDANJE",Mičio Kaku,FIZIKA,HELIKS,2023,208,Broš,15.3x23.4,"Knjiga Ajnštajnov kosmos, čiji je autor jedan od najznačajnijih teorijskih fizičara današnjice, Mičio Kaku, predstavlja kratak i jezgrovit vodič u uzbudljiv i zavodljiv svet moderne fizike izgrađen na pepelu starih teorija i u sukobu dve vodeće struje u fizici – kvantne mehanike i relativistike. Jasno, nadahnuto i poetično Kaku govori o naučnom, političkom i emotivnom životu najvećeg naučnog genija našeg doba, Alberta Ajnštajna, pričajući istovremeno i o divljem XX veku, vremenu velikih ratova i još većih otkrića, zloupotreba nauke i ljudi, o nacizmu i pacifizmu, ljubavi i mržnji.",1435.0
VIDIMO SE U AVGUSTU,Gabrijel Garsija Markes,KLASICI,SEZAM BOOK,2024,145,Tvrd,14.5x21,"Ana Magdalena Bać živi mirnim, uređenim, porodičnim životom. Ima muža i dvoje dece, i svake godine, istog avgustovskog dana, odlazi trajektom do ostrva na kom je njena majka tražila da bude sahranjena da odnese gladiole na njen grob. Te posete ostrvu neočekivano u njoj bude neodoljivu potrebu da makar te jedne noći u godini postane druga žena. U miljeu karipskih zavodnika, vlažnih i toplih noći, senzualne muzike, i oštrog kontrasta između turizma i bede, u svom poslednjem, posthumno objavljenom romanu, Gabrijel Garsija Markes govori o ljubavi u zrelim godinama, o želji, životu i samospoznaji, kao i tome da nikoga suštinski ne poznajemo i da neke tajne, hteli-ne hteli, nosimo sa sobom u grob. Deset godina nakon što smo pomislili da to više nikad neće biti moguće, imamo priliku da uživamo u novootkrivenom dragulju voljenog kolumbijskog nobelovca.",1584.0
DEVET POTPUNIH STRANACA,Lijan Morijarti,TRILERI/MISTERIJE,VULKAN IZDAVAŠTVO,2024,352,Broš,14.5x20.5,"Devet stranaca.  Jedna kuća.  Deset dana koji če im zauvek promeniti živote.  Devet potpunih stranaca umornih od gradskog života okuplja se u izolovanom odmaralištu. Neki su došli da bi smršali, drugi da bi ponovo pokrenuli svoj život, a ima i onih koji kriju svoje razloge. Iako im program nudi luksuz, tetošenje, samospoznaju i meditaciju, znaju da ih za ovih deset dana očekuje mnogo posla. Ali niko od njih ne može ni da pretpostavi kakvi izazovi ih čekaju.  Franses Velti, autorka ljubavnih bestselera čija karijera propada, stigla je u Trankilum haus sa slomljenim srcem, bolnim leđima, prehladom i posekotinom na palcu. Od prvog trenutka zaintrigirali su je ostali gosti: većina njih izgleda kao da im uopšte nije potreban oporavak. Ali osoba koja joj je najviše zagolicala maštu je Maša, neobična i harizmatična vlasnica odmarališta. Da li ona zaista može da pruži Franses odgovore za kojima traga? Da li da prestane da sumnja i prepusti se svemu – ili da beži dok još može?  Neće proći mnogo pre nego što se svi gosti to isto zapitaju…",1104.0
SVE ŠTO TREBA DA ZNAŠ O LJUBAVI,Dušica Labović,DOMAĆI ROMAN,OUROBOROS DOO,2023,320,Broš,14x20.5,"Roman Dušice Labović Sve što treba da znaš o ljubavi isprepleten je misterijom prošlosti najbogatije porodice bivše Jugoslavije. Utopljen u ritmove i senke beogradskih vila, sremskih dvoraca, kamenih kuća i palata na obalama Jadranskog mora, ovaj roman vodi čitaoca na putovanje od odrastanja, ljubavi, razočaranja i opraštanja.",1214.0
KNJIGA O DOSTOJEVSKOM,Jasmina Ahmetagić,"TEORIJA, TUMAČENJE I ISTORIJA KNJIŽEVNOSTI",BLUM IZDAVAŠTVO,2024,232,Broš,20x13,"U ovoj knjizi autorka analizira dela koja ne pripadaju centralnom opusu Dostojevskog. Zahvaljujući interdisciplinarnom pristupu, autorka uspeva da pruži sasvim nove i drugačije uvide baveći se centralnim ljudskim iskustvima, od kojih je ljubav i gubitak kapaciteta za bliskost možda i jedno od najvažnijih.",840.0
ZLATNI ĆUP / PRINCEZA BRAMBILA,Ernst Teodor Amadeus Hofman,KLASICI,DARMA BOOKS,2023,207,Broš,20x14,"U ovom izboru nalaze se dve Hofmanove najpoznatije priče u novom, izuzetnom prevodu Jelene Pržulj. U „Zlatnom ćupu”, remek-delu književnosti romantizma, koje je i sam Hofman smatrao svojom najuspešnijom pričom, prikazani su neobični doživljaji studenta Anselmusa, koji je rastrzan između dve žene, i svakodnevnog sveta buržoaskog Drezdena koji se širi u magični svet Atlantide. Dok je u centru „Princeze Brambile” ljubavna priča glumaca Đilja i Đačinte i njihova zaljubljenost u radoznalu princezu Brambilu i princa Kornelija, ispripovedana kroz ironiju, humor i fantastiku.",990.0
LEPOTICA I ZVER,"Ilustracije:	
Stevan Vampola",UZRAST OD 3 DO 6 GODINA,PI PRESS,2023,64,Tvrd,17x24,"Ova očaravajuća bajka je bezvremena priča o pravoj, iskrenoj ljubavi suočenoj sa velikim nedaćama.",801.0
BAMBI,Feliks Salten,UZRAST OD 3 DO 6 GODINA,PI PRESS,2015,12,Tvrd,16x16.5,"Bambi je bezvremenska priča o mladom lanetu, sa snažnim temama kao što su ljubav, prijateljstvo, odgovornost i nada.",584.0
ORLOVI RANO LETE,Branko Ćopić,LEKTIRA,PI PRESS,2022,226,Tvrd,17x21.5,"Orlovi rano lete” je roman za decu i antiratni roman u kome se uz mnogo vedrog humora govori o prijateljstvu i odrastanju, kao i o velikim temama poput požrtvovanosti, hrabrosti i ljubavi prema slobodi. Reč je o velikom delu velikog pisca uz koje brojne generacije odrastaju i postaju ljudi.",722.0
PTICE U PARKU,Autorski tim Larousse,UZRAST OD 0 DO 2 GODINE,KREATIVNI CENTAR,2023,8,Tvrd,15x15,"Iz ove slikovnice najmlađi čitaoci će se upoznati sa pojedinim vrstama ptica koje žive u parkovima. Saznaće kako se one oglašavaju, šta vole, čime se hrane. Na koricama knjige i na njenim stranama postoje po dva proreza koja jednu stranicu pretvaraju u čak tri! Najmlađim čitaocima to će biti posebno zanimljivo, jer se knjiga na ovaj način pretvara u igračku. Na poleđini poslednje izvučene stranice mališane čeka dodatni zadatak zbog kojeg će morati još jednom da prelistaju slikovnicu. Interaktivne knjige podstiču kod dece ljubav prema knjizi i čitanju od najranijeg uzrasta. Poguraj i povuci stranice, zabavi se i nauči!",738.0
KO TO RASTE NA SELU?,Autorski tim Larousse,UZRAST OD 0 DO 2 GODINE,KREATIVNI CENTAR,2023,8,Tvrd,15x15,"Uz ovu interaktivnu slikovnicu kod dece će se od najranijih dana razviti ljubav prema knjizi. Kroz zabavne stihove mali čitaoci se upoznaju sa nekima od domaćih životinja koje žive na selu i njihovim mladuncima. Na koricama knjige i na njenim stranama postoje po dva proreza koja jednu stranicu pretvaraju u tri! Na poleđini poslednje izvučene stranice čitaoce čeka dodatni zadatak. Zahvaljujući ovakvoj strukturi knjige, mališani brzo uočavaju i pamte osobine životinja. Poguraj i povuci delove knjige, zabavi se i nauči!",738.0
MEDITACIJE ZA ISCELJENJE VAŠEG ŽIVOTA,Lujza Hej,UM TELO I DUH,VULKAN IZDAVAŠTVO,2023,240,Broš,14.5x20.5,"U ovoj očaravajućoj kolekciji meditacija Lujza Hej nam pruža niz uvida obogaćenih ljubavlju, deleći svoju duboku životnu filozofiju o širokom spektru tema. Ove meditacije nas ohrabruju da se oslobodimo svojih strahova i ograničavajućih uverenja koje nam društvo nameće, te hrabro krenemo putem ličnog oslobođenja. Ono što se kroz različite teme naročito ističe jeste ljubav prema sebi – jer učenjem kako da volimo sebe učimo kako da prihvatimo i sve vlastite vrline i nedostatke. Autorka nastoji da nas podseti na to da je ljubav prema sebi ključna za sreću i ispunjenje.",719.0
RAZGOVORI O PETOM VRAPČETU I  DRUGIM ŽIVOTINJAMA,"Božidar Lazić, Gabrijela Popović",UZRAST OD 3 DO 6 GODINA,PREPOROD,2024,140,Broš,21x21,"Brat i  sestra, Teodor i Anja leto provode na selu kod bake i deke. Na selu se susreću sa mnoštvom životinja o kojima saznaju puno toga. Pisano jednostavno i dopadljivo, uz  dečije pesme i ilustacije, ova knjiga je veoma interesantna deci, proširuje saznanje o živom svetu i razvija interesovanje i ljubav prema prirodi.",756.0
PACIFIK NEMA USPOMENA,Zoran Rosić,DOMAĆI ROMAN,PRESING,2023,259,Broš,14.8x21,"Ovaj, po mnogo čemu osoben, roman-triptih predstavlja barokno prikazanu sliku sveta  koji je, na neki način izgubio i ponovo dobio nevinost u autorovim očima. Započinjući u prividnoj idili SFRJ i idući u pravcu otkrivanja svetova vam granica zemlje, sa finalnim ishodištem na dalekom pacifičkom ostrvu Guam, Rosić se bavi životom ljubavi i njenim odblescima u umetnosti. U oštrom kontrastu sa skladom Univerziteta u En Arboru, Mičigen, SAD  stoje slike fizičkog i mentalnog pustošenja koje su ovi prostori preživeli devedesetih godina prošlog veka a ideja ljubavi sa naznakama zamora, preljube stvarne ili imaginarne. Isto važi i za mikroskopski precizno prikazane mane sveta visoke tehnologije upoređene sa onim meridijanima na kojim se ne konzumira već stiče svakodnevnim, napornim manuelnim radom. No, autor se uvek vraća gradu na dve reke sa svojih putovanja i lutanja gde ga očekuje razrešenje brojnih, ako ne i svih životnih pitanja. Pacifik nema uspomena je Rosićev trinaesti roman koji  svedoči o veštom, bremenitom književnom stvaralaštvu koje će strpljivo, u svojoj sigurnoj luci, dočekati stare i nove čitaoce.",891.0
LJUBAV NA LEPOM MESTU,Nena Filipović,DOMAĆI LJUBAVNI ROMAN,PRESING,2023,191,Broš,14.8x21,"Ljubav između dva lekara se sasvim lagano pojavila ali može li biti dovoljno jaka da im izbriše bolne prošlosti? Može li jedan čovek sa ranom na duši koja godinama ne zarasta konačno naći žensku ruku da je s ljubavlju isceli? Stefan  je ginekolog sa teškom prošlošću. Preselio se iz svog rodnog grada u drugi bežeći od njega kao žrtva od mesta zločina. Dejana je estetski hirurg koji se vraća preko okeana svom rodnom gradu sa željom da promeni stvari nabolje. On je zaključani katanac, ona je ključ a na vama je da otkrijete koja priča se krije između korica.",990.0
PONOVO SVOJA,Saša Veselinović,DOMAĆI LJUBAVNI ROMAN,PRESING,2023,143,Broš,14.8x21,"Ljubav? Da li zapravo znamo šta je to? Jel ti ono predivno osećanje koje nas čini srećnim ili zbog kojeg patimo? Ema je vaspitačica koja obožava svoj posao i rad sa decom. Želi da voli i bude voljena. Strastvena i harizmatična. Ognjen s druge strane voli restoran i hrana je njegova ljubav i inspiracija. Strastven, zgodan i muškarac sa stavom. Međutim, jedan pogled, jedan susret, jedan poljubac, promeniće njihove živote. Hoće li Ema uživati u ljubavi ili će joj život pokazati njenu tamnu stranu? Šta se dešava kad maske padnu sa lica? Kad tajne više ne postoje? Postoji li nova šansa za ljubav nakon bola i patnje?",801.0
